City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Shieli,KZ,78.84,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
267,Alofi,NU,77.0,clear sky,-19.06,-169.92,Taloa Heights
269,Komsomolskiy,UZ,73.4,broken clouds,40.43,71.72,"Hotel ""Ikathouse"""
274,Beni,CD,64.62,light rain,0.5,29.47,Albertine hotel
276,Sarandi,BR,67.95,scattered clouds,-23.44,-51.87,HOTEL GRALHA AZUL (GAPH) - Maringá
277,Luba,GQ,78.8,few clouds,3.46,8.55,
278,Najran,SA,86.0,clear sky,17.49,44.13,محمد هادي ال فطيح
279,Tabou,CI,78.75,moderate rain,4.42,-7.35,hotêl doufoulougou
280,Zabol,AF,68.2,clear sky,32.25,67.25,
281,Palauig,PH,82.65,clear sky,15.44,119.9,
282,Walvis Bay,,66.2,clear sky,-22.96,14.51,Oyster Box Guesthouse
285,Luwingu,ZM,64.99,broken clouds,-10.26,29.93,"Mountain City Lodge. Luwingu, Zambia"
288,Gua Musang,MY,74.48,light rain,4.88,101.96,Mines Inn Hotel
290,Revadanda,IN,87.8,haze,18.55,72.93,"Sandeep Holiday Homes, Prarthana Niwas"
291,Chicama,PE,75.83,few clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
295,Huangzhou,CN,71.6,broken clouds,30.45,114.8,Manjianghong Business Hotel
296,Halalo,CN,71.6,broken clouds,30.45,114.8,Manjianghong Business Hotel
297,Margate,GB,62.01,clear sky,51.38,1.39,Premier Inn Margate hotel
298,Joinville,BR,75.0,clear sky,-26.3,-48.85,Mercure Joinville Prinz Hotel
301,Senador Jose Porfirio,BR,80.53,moderate rain,-2.59,-51.95,MORADA DO SOL pousada
302,Kadoma,JP,70.0,overcast clouds,34.73,135.58,Hotel Agora Osaka Moriguchi
303,Namibe,AO,74.53,few clouds,-15.2,12.15,Chik-Chik Namibe
304,Kununurra,AU,66.2,few clouds,-15.77,128.73,Hotel Kununurra
305,Cayenne,GF,86.0,few clouds,4.93,-52.33,Hôtel Le Dronmi
307,Bambous Virieux,MU,71.01,few clouds,-20.34,57.76,Casa Tia Villa
309,Lagoa Da Prata,BR,65.95,clear sky,-20.02,-45.54,POUSADA PARADOR DA FIGUEIRA
311,Kawalu,ID,73.62,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
312,Itoman,JP,80.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
313,Point Pedro,LK,83.93,scattered clouds,9.82,80.23,Gtr homes
314,Bafia,CM,71.96,light rain,4.75,11.23,Ets MAISON BLANCHE
315,Rabo De Peixe,PT,64.4,broken clouds,37.8,-25.58,Quinta das Giestas
316,Port-Cartier,CA,64.4,scattered clouds,50.03,-66.87,Le Q'Artier
317,Longonjo,AO,60.03,scattered clouds,-12.91,15.25,
318,Tual,ID,81.57,light rain,-5.67,132.75,Grand Vilia Hotel
320,Djambala,CG,70.05,overcast clouds,-2.54,14.75,Auberge Chez Les Emmanuelles
322,Raton,US,82.4,few clouds,36.9,-104.44,Holiday Inn Express & Suites Raton
323,Faya,SA,75.2,clear sky,18.39,42.45,مقبرة ال مجمل
325,Havelock,US,80.6,scattered clouds,34.88,-76.9,Holiday Inn Express and Suites Havelock
327,Barranca,PE,70.61,scattered clouds,-10.75,-77.77,El Olivar Hospedaje
328,Pingyin,CN,69.01,overcast clouds,36.28,116.45,Meiyuan Hotel
329,Taltal,CL,66.09,broken clouds,-25.4,-70.48,Residencial Karime
330,Neiafu,TO,71.6,few clouds,-18.65,-173.98,Mystic Sands
333,Le Mars,US,73.4,clear sky,42.79,-96.17,Holiday Inn Express & Suites Le Mars
334,Auki,SB,78.76,clear sky,-8.77,160.7,Auki Motel
335,Huescar,ES,66.99,clear sky,37.81,-2.54,Hotel El Maño
336,Poptun,GT,79.84,moderate rain,16.33,-89.42,Hotel Izalco
337,Saurimo,AO,67.82,broken clouds,-9.66,20.39,Hotel Kawissa Saurimo
339,Fort-Shevchenko,KZ,71.22,clear sky,44.51,50.26,Oasis hotel Bautino
341,Kochubey,RU,67.71,few clouds,44.39,46.58,Gostinitsa Karavan
343,Manono,CD,76.87,clear sky,-7.3,27.42,Hotel hewa bora
344,Torbay,CA,71.6,scattered clouds,47.67,-52.73,Gallows Cove
345,Aktau,KZ,68.0,clear sky,43.65,51.2,Silk Way Hotel
346,Merke,KZ,64.38,clear sky,42.87,73.18,Gostinitsa
347,One Hundred Mile House,KZ,64.38,clear sky,42.87,73.18,Gostinitsa
349,Sabang,ID,83.61,broken clouds,5.89,95.32,Hotel Citra
351,Kismayo,SO,79.93,broken clouds,-0.36,42.55,Agan-Hotel
352,Inirida,CO,88.83,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
353,Klaksvik,FO,60.8,overcast clouds,62.23,-6.59,Airbnb rooms
354,Tura,IN,71.4,moderate rain,25.52,90.22,Hotel RIKMAN Continental
356,West Wendover,US,89.6,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
358,Pathein,MM,82.85,broken clouds,16.78,94.73,Pathein Hotel
359,Tezu,IN,73.33,broken clouds,27.92,96.17,Circuit House
361,Karratha,AU,73.4,broken clouds,-20.74,116.85,ibis Styles Karratha
362,Salta,AR,69.8,broken clouds,-24.79,-65.41,Hotel Alejandro I
364,Katherine,AU,64.4,overcast clouds,-14.47,132.27,Pine Tree Motel
365,Prince George,CA,66.99,clear sky,53.92,-122.75,Canadas Best Value Inn Prince George
366,Poum,NC,74.71,clear sky,-20.23,164.02,Gîte kajeon
367,Voi,KE,69.93,overcast clouds,-3.39,38.56,Voi Wildlife Lodge
368,Belushya Guba,KE,69.93,overcast clouds,-3.39,38.56,Voi Wildlife Lodge
370,Dayong,CN,77.0,few clouds,25.02,118.29,Haiyue Express Hotel
371,Pakala,IN,84.4,broken clouds,13.47,79.12,TELUGU TALLI OLD AGE HOME
372,Hami,CN,69.01,overcast clouds,42.8,93.45,Laoyutang Resort
373,Umm Lajj,SA,78.06,clear sky,25.02,37.27,Tanal Hotel Apartment
374,Wasilla,US,60.01,overcast clouds,61.58,-149.44,Alaska's Select Inn Wasilla
375,Pringsewu,ID,74.08,broken clouds,-5.36,104.97,Urban Style by Front One
377,Itacoatiara,BR,82.4,light rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
378,Pipri,IN,83.28,scattered clouds,19.8,75.53,Sukhana River nilu and rushi home
379,Alegrete,BR,70.2,scattered clouds,-29.78,-55.79,Hotel Alegrete
380,Mitu,CO,88.05,light rain,1.2,-70.17,
381,Toftir,CO,88.05,light rain,1.2,-70.17,
382,Lyndon,US,75.99,broken clouds,38.26,-85.6,SpringHill Suites by Marriott Louisville Hurstbourne/North
384,Isla Aguada,MX,82.4,overcast clouds,18.78,-91.47,Freedom Shores
389,Zhuanghe,CN,61.0,clear sky,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
390,High Rock,BS,86.0,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
391,Harper,LR,78.62,moderate rain,4.38,-7.72,Cape View Guest House
392,Doha,QA,90.0,scattered clouds,25.29,51.53,Movenpick Hotel Doha
393,Sakaiminato,JP,66.2,broken clouds,35.55,133.23,味処・民宿 まつや
394,Yenagoa,NG,76.8,overcast clouds,4.92,6.26,Amba Hotels Limited
395,Gurgan,NG,76.8,overcast clouds,4.92,6.26,Amba Hotels Limited
396,Kijang,KR,66.2,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
398,Jalu,LY,81.16,scattered clouds,29.03,21.55,Jalu Hotel
400,Wangkui,CN,65.28,broken clouds,46.83,126.5,Pengda Hotel
401,Mao,ES,66.2,clear sky,39.89,4.27,Hotel Catalonia Mirador des Port
402,Bahia Honda,CU,84.78,light rain,22.9,-83.16,Casa Gualberto - Deysi
403,Cacoal,BR,84.45,light rain,-11.44,-61.45,Hotel BR 364
404,Niquero,CU,85.89,few clouds,20.04,-77.58,
405,Coalinga,US,77.0,broken clouds,36.14,-120.36,Royal Lodge Motel
406,Parrita,CR,77.0,broken clouds,9.52,-84.32,Beso del Viento
407,Wahran,CR,77.0,broken clouds,9.52,-84.32,Beso del Viento
408,Port Keats,AU,71.15,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
410,Seguin,US,88.0,clear sky,29.57,-97.96,Days Inn by Wyndham Seguin TX
411,Bahir Dar,ET,69.19,light rain,11.59,37.39,"Delano Hotel, Bahir Dar"
412,Cockburn Town,TC,81.64,light rain,21.46,-71.14,Osprey Beach Hotel
417,Suwannaphum,TH,87.01,overcast clouds,15.6,103.8,วรรณมณี รีสอร์ท
418,Hambantota,LK,80.96,clear sky,6.12,81.12,Bungalow 63
419,Dondo,MZ,75.2,clear sky,-19.61,34.74,Arco Iris
421,Amapa,BR,80.87,light rain,1.0,-52.0,
422,Tonantins,BR,83.35,light rain,-2.87,-67.8,Hotel Rei Davi
423,Ambilobe,MG,73.27,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
426,Vangaindrano,MG,69.71,overcast clouds,-23.35,47.6,Hotel Fanilo
427,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
429,Den Helder,NL,61.0,clear sky,52.96,4.76,Hotel Den Helder
431,Kimbe,PG,74.98,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
432,Fukue,JP,66.16,light rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
433,Santa Rita,BR,82.4,few clouds,-7.11,-34.98,Infinity Motel
435,Buala,SB,81.16,light rain,-8.14,159.59,Maringe Lagoon Lodge
436,Chivolo,CO,82.56,light rain,10.03,-74.62,hotel las vegas
438,Chenghai,CN,75.2,few clouds,23.46,116.77,Guangdong Hotel
439,Kibala,TD,87.35,scattered clouds,9.11,18.35,
440,Ijaki,TD,87.35,scattered clouds,9.11,18.35,
442,Vicuna,CL,62.01,light rain,-30.03,-70.71,Los Mosaicos
445,Lacombe,CA,78.01,broken clouds,52.47,-113.74,Greenway Inn
446,Kleck,CA,78.01,broken clouds,52.47,-113.74,Greenway Inn
447,Tanjong Sepat,CA,78.01,broken clouds,52.47,-113.74,Greenway Inn
448,Mayo,US,82.0,clear sky,38.89,-76.51,Resorts Resource Group International
451,Dallas,US,88.0,few clouds,32.77,-96.78,Hotel Indigo Dallas Downtown
453,Salalah,OM,77.0,light rain,17.02,54.09,HAMDAN PLAZA HOTEL
455,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
456,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
457,Sheridan,US,82.99,clear sky,44.83,-106.92,Best Western Sheridan Center
459,Iquique,CL,69.8,broken clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
460,Itarema,BR,80.04,light rain,-2.92,-39.92,Windvillage
464,Undory,RU,69.8,overcast clouds,54.61,48.39,"Ul'yanovskkurort, Turoperator"
465,Umarkot,PK,83.82,clear sky,25.36,69.74,Qureshi Loudge
466,Kathu,TH,78.8,few clouds,7.92,98.33,Sunset Beach Resort
468,Alamosa,US,82.4,clear sky,37.47,-105.87,Best Western Alamosa Inn
469,Sechura,PE,80.1,clear sky,-5.56,-80.82,Hospedaje Costa Bella
470,Dicamay,PH,74.8,clear sky,16.76,122.0,
474,Eenhana,,64.4,clear sky,-17.47,16.33,Hotel Litu
475,Lagos,NG,80.6,few clouds,6.58,3.75,
476,Naze,JP,75.2,overcast clouds,28.37,129.48,奄美ポートタワーホテル
477,Port Blair,IN,83.35,overcast clouds,11.67,92.75,Hotel Sentinel
478,Bodden Town,KY,87.8,few clouds,19.28,-81.25,Will T Place
479,Qandahar,KY,87.8,few clouds,19.28,-81.25,Will T Place
480,Pisco,PE,68.0,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
481,Yanan,PE,68.0,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
482,Sumenep,ID,80.15,light rain,-7.02,113.87,OYO 3271 Homestay Pandian
483,Adwa,ET,73.4,broken clouds,14.16,38.9,Maay Assa Hotel
490,Jorhat,IN,73.78,clear sky,26.75,94.22,Hotel Jora Palace
492,Areosa,PT,64.99,overcast clouds,41.72,-8.86,Hotel Flôr de Sal
493,Pachino,IT,64.0,light rain,36.72,15.09,La Vignazza B&B
494,Shakawe,BW,60.55,clear sky,-18.37,21.85,Ditlhapi Guest House
495,Ust-Kamchatsk,BW,60.55,clear sky,-18.37,21.85,Ditlhapi Guest House
496,Sur,OM,89.89,overcast clouds,22.57,59.53,Sur Plaza Hotel
497,Lumding,IN,71.83,light rain,25.75,93.17,Hotel Nilamber
499,Otavi,,60.93,clear sky,-19.65,17.33,Stop 'n Stay Otavi Rest Camp
503,Hue,VN,80.6,few clouds,16.47,107.6,Saigon Morin Hotel
504,Longlac,VN,80.6,few clouds,16.47,107.6,Saigon Morin Hotel
505,Baturaja,ID,74.39,few clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
506,Mareeba,AU,73.4,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
507,Tank,PK,83.71,few clouds,32.22,70.38,Gula Jan Abdulai
509,Buchanan,LR,82.4,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
512,Coquimbo,CL,62.6,broken clouds,-29.95,-71.34,Hotel San Juan
513,Edson,CA,71.6,clear sky,53.58,-116.44,Holiday Inn Express & Suites Edson
517,Kenai,US,62.6,clear sky,60.55,-151.26,Aspen Extended Stay Suites
519,Hanyang,CN,66.87,overcast clouds,32.14,105.51,Forestry Hostel
520,Astana,KZ,63.0,clear sky,51.18,71.45,King Hotel Astana
522,Korcula,HR,63.39,clear sky,42.96,17.14,Hotel Marko Polo
524,Buin,CL,64.4,haze,-33.73,-70.75,Paihuen
525,Akonolinga,CM,71.58,overcast clouds,3.77,12.25,Le Diamant De Mireille
528,Trairi,BR,79.48,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
529,Mitsamiouli,KM,80.91,clear sky,-11.38,43.28,Foyer ADM
530,Sao Jose Da Coroa Grande,BR,76.75,moderate rain,-8.9,-35.15,Crôa Mares Hotel
531,Mtimbira,TZ,71.26,few clouds,-8.78,36.35,
532,Mataram,ID,75.2,broken clouds,-8.58,116.12,Lombok Garden Hotel
533,Dolbeau,ID,75.2,broken clouds,-8.58,116.12,Lombok Garden Hotel
535,Vanimo,PG,78.19,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
536,Bonthe,SL,80.38,light rain,7.53,-12.51,Bonthe Holiday Village
