City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
195,Ribeira Grande,PT,38.52,-28.7,60.04,61,0,8.57,clear sky,0.0,0
196,Saint George,US,37.1,-113.58,102.2,10,1,11.41,clear sky,0.0,0
197,Aswan,EG,24.09,32.91,77.16,21,0,18.01,clear sky,0.0,0
198,Constitucion,CL,-35.33,-72.42,55.17,85,100,5.32,light rain,0.19,0
199,Sakakah,SA,29.97,40.21,75.2,16,11,8.05,few clouds,0.0,0
200,Port Lincoln,AU,-34.73,135.87,57.38,59,0,16.37,clear sky,0.0,0
201,Port-Gentil,GA,-0.72,8.78,79.02,84,100,10.71,overcast clouds,0.0,0
202,Tiksi,RU,71.69,128.87,30.06,96,100,10.29,overcast clouds,0.0,0
203,Kahului,US,20.89,-156.47,86.0,48,20,25.28,few clouds,0.0,0
204,Kurilsk,RU,45.23,147.88,39.92,83,64,10.45,broken clouds,0.0,0
205,Esperance,AU,-33.87,121.9,55.4,66,0,19.46,clear sky,0.0,0
206,Saint-Leu,RE,-21.15,55.28,71.6,68,6,10.29,clear sky,0.0,0
207,Cidreira,BR,-30.18,-50.21,60.39,84,0,8.08,clear sky,0.0,0
208,Kodiak,US,57.79,-152.41,66.2,25,1,6.93,clear sky,0.0,0
209,Hirara,JP,24.8,125.28,80.6,88,75,10.29,broken clouds,0.0,0
210,Saldanha,ZA,-33.01,17.94,57.2,93,95,4.7,light rain,0.26,0
211,Mitsamiouli,KM,-11.38,43.28,78.4,68,25,5.21,scattered clouds,0.0,0
212,Bengkulu,ID,-3.8,102.27,76.87,84,83,3.65,broken clouds,0.0,0
213,Karakendzha,ID,-3.8,102.27,76.87,84,83,3.65,broken clouds,0.0,0
214,Hojo,JP,33.98,132.78,71.6,53,20,4.7,few clouds,0.0,0
215,Muros,ES,42.78,-9.06,66.99,84,5,1.01,clear sky,0.0,0
216,Dingle,PH,11.0,122.67,84.52,75,64,4.99,broken clouds,0.0,0
217,Ancud,CL,-41.87,-73.82,42.01,93,40,4.7,scattered clouds,0.0,0
218,Banda Aceh,ID,5.56,95.32,80.85,75,98,3.06,overcast clouds,0.0,0
219,Zonguldak,TR,41.25,31.83,47.88,90,99,3.76,overcast clouds,0.0,0
220,Prachuap Khiri Khan,TH,11.82,99.78,81.36,78,82,4.81,broken clouds,0.0,0
221,Paita,PE,-5.09,-81.11,69.15,84,39,12.75,scattered clouds,0.0,0
222,El Prat De Llobregat,ES,41.33,2.09,69.01,68,0,3.36,clear sky,0.0,0
223,Mayo,US,38.89,-76.51,73.99,88,75,8.05,broken clouds,0.0,0
224,Amapa,BR,1.0,-52.0,73.72,97,86,2.57,light rain,0.25,0
225,Skagen,DK,57.72,10.58,53.01,86,0,7.0,clear sky,0.0,0
226,Bermejo,AR,-32.88,-68.8,59.0,51,6,2.24,clear sky,0.0,0
227,Kruisfontein,ZA,-34.0,24.73,60.21,69,100,9.53,overcast clouds,0.0,0
228,Haines Junction,CA,60.75,-137.51,65.55,28,98,4.43,overcast clouds,0.0,0
229,Santa Rosa,PH,14.31,121.11,88.0,79,20,2.24,few clouds,0.0,0
230,Sandviken,SE,60.62,16.77,41.0,66,38,2.15,scattered clouds,0.0,0
231,Aflu,SE,60.62,16.77,41.0,66,38,2.15,scattered clouds,0.0,0
232,Iranshahr,IR,27.2,60.68,80.89,16,0,3.8,clear sky,0.0,0
233,Juba,SS,4.85,31.58,73.76,83,67,1.32,broken clouds,0.0,0
234,Tucuman,AR,-26.82,-65.22,66.2,55,0,3.36,clear sky,0.0,0
235,Inderborskiy,AR,-26.82,-65.22,66.2,55,0,3.36,clear sky,0.0,0
236,Bilibino,RU,68.05,166.44,44.73,56,0,6.31,clear sky,0.0,0
237,Neuquen,AR,-38.95,-68.06,51.8,50,100,4.7,overcast clouds,0.0,0
238,Grindavik,IS,63.84,-22.43,48.2,100,90,28.86,mist,0.0,0
239,Rio Grande,BR,-32.03,-52.1,52.0,95,0,6.91,clear sky,0.0,0
240,East London,ZA,-33.02,27.91,69.04,37,100,8.66,overcast clouds,0.0,0
241,Timiryazevskoye,RU,56.49,84.88,44.01,100,0,4.74,clear sky,0.0,0
242,Jijiga,ET,9.35,42.8,65.46,75,84,6.58,broken clouds,0.0,0
243,Tuatapere,NZ,-46.13,167.68,53.29,74,94,3.69,overcast clouds,0.0,0
244,Aklavik,CA,68.22,-135.01,66.2,34,40,5.82,scattered clouds,0.0,0
245,Perene,PE,-10.95,-75.23,71.22,63,43,1.25,scattered clouds,0.0,0
246,Soe,ID,-9.86,124.28,70.9,91,57,5.01,broken clouds,0.0,0
247,Severo-Yeniseyskiy,RU,60.37,93.04,45.48,55,0,2.82,clear sky,0.0,0
248,Vanavara,RU,60.34,102.28,46.45,54,80,2.98,broken clouds,0.0,0
249,Murray Bridge,AU,-35.12,139.27,59.0,71,0,1.99,clear sky,0.0,0
250,Marsh Harbour,BS,26.54,-77.06,79.02,82,70,13.87,broken clouds,0.0,0
251,Nishihara,JP,26.18,127.76,78.8,61,75,10.29,broken clouds,0.0,0
252,Salitral,PE,-4.86,-80.68,74.61,67,44,13.35,scattered clouds,0.0,0
253,Kodinsk,RU,58.69,99.18,49.17,52,100,3.02,overcast clouds,0.0,0
254,Porto Santo,PT,33.07,-16.34,66.2,82,40,5.82,scattered clouds,0.0,0
255,Avera,US,33.19,-82.53,84.2,70,1,4.7,clear sky,0.0,0
256,Varhaug,NO,58.61,5.65,46.4,81,16,4.7,few clouds,0.0,0
257,Goderich,CA,43.75,-81.72,72.0,82,87,14.07,overcast clouds,0.0,0
258,Lagoa,PT,39.05,-27.98,59.77,62,0,8.5,clear sky,0.0,0
259,Qingyuan,CN,23.7,113.03,81.0,83,75,2.24,mist,0.0,0
260,Tautira,PF,-17.73,-149.15,87.8,66,40,5.82,scattered clouds,0.0,0
261,Yurla,RU,59.33,54.32,47.57,92,0,5.97,clear sky,0.0,0
262,La Ronge,CA,55.1,-105.28,50.0,66,75,6.93,broken clouds,0.0,0
263,Camapua,BR,-19.53,-54.04,62.22,63,0,5.68,clear sky,0.0,0
264,Lata,PT,40.16,-8.33,72.0,82,42,1.99,scattered clouds,0.0,0
265,Tual,ID,-5.67,132.75,82.06,82,100,21.68,light rain,0.65,0
266,San Quintin,MX,30.48,-115.95,68.9,72,3,13.15,clear sky,0.0,0
267,Maniitsoq,GL,65.42,-52.9,33.98,89,81,5.64,broken clouds,0.0,0
268,San Cristobal,VE,7.77,-72.22,69.06,91,100,2.21,moderate rain,1.36,0
269,Okhotsk,RU,59.38,143.3,37.15,92,100,10.4,light rain,0.79,0
270,San Ramon,US,37.78,-121.98,93.0,21,1,16.11,clear sky,0.0,0
271,Aguas Formosas,BR,-17.08,-40.94,59.49,89,8,1.72,clear sky,0.0,0
272,Taozhuang,CN,34.85,117.33,79.93,42,100,6.17,overcast clouds,0.0,0
273,Hargeysa,SO,9.56,44.06,72.57,66,74,18.7,broken clouds,0.0,0
274,Parkes,AU,-33.13,148.18,51.01,88,0,1.99,clear sky,0.0,0
275,Mys Shmidta,AU,-33.13,148.18,51.01,88,0,1.99,clear sky,0.0,0
276,Majenang,ID,-7.3,108.76,77.59,85,100,1.25,overcast clouds,0.0,0
277,Sedelnikovo,ID,-7.3,108.76,77.59,85,100,1.25,overcast clouds,0.0,0
278,Takoradi,GH,4.88,-1.76,80.37,85,100,7.23,light rain,0.18,0
279,Buarcos,PT,40.17,-8.88,72.0,88,5,1.12,clear sky,0.0,0
280,Pochutla,MX,15.74,-96.47,89.6,59,75,4.54,broken clouds,0.0,0
281,Piombino,IT,42.93,10.52,63.0,81,6,1.01,clear sky,0.0,0
282,Kibala,TD,9.11,18.35,82.62,60,86,4.68,overcast clouds,0.0,0
283,Kosh-Agach,RU,50.0,88.67,38.93,69,46,3.8,scattered clouds,0.0,0
284,Ahipara,NZ,-35.17,173.17,62.44,86,100,2.73,overcast clouds,0.0,0
285,Lompoc,US,34.64,-120.46,68.0,68,1,17.22,clear sky,0.0,0
286,Nibbar,TN,36.29,8.77,64.4,63,20,5.82,few clouds,0.0,0
287,Luanda,AO,-8.84,13.23,75.2,88,40,2.24,scattered clouds,0.0,0
288,Tumannyy,AO,-8.84,13.23,75.2,88,40,2.24,scattered clouds,0.0,0
289,Arinos,BR,-15.92,-46.11,61.75,72,0,2.3,clear sky,0.0,0
290,Cascais,PT,38.7,-9.42,77.0,42,2,5.99,clear sky,0.0,0
291,Dinguiraye,GN,11.3,-10.72,82.56,51,57,1.7,broken clouds,0.0,0
292,Cockburn Town,TC,21.46,-71.14,80.89,80,73,18.99,broken clouds,0.0,0
293,Kuteynykove,UA,47.81,38.29,62.31,94,100,3.44,overcast clouds,0.0,0
294,Cape Town,ZA,-33.93,18.42,64.99,100,90,18.34,moderate rain,3.05,0
295,Port Blair,IN,11.67,92.75,84.56,78,99,10.63,light rain,0.86,0
296,Del Rio,US,29.36,-100.9,96.8,61,40,25.28,scattered clouds,0.0,0
297,Usogorsk,RU,63.41,48.69,47.93,82,16,3.89,few clouds,0.0,0
298,Faanui,PF,-16.48,-151.75,81.72,80,53,15.73,broken clouds,0.0,0
299,Nizhneyansk,PF,-16.48,-151.75,81.72,80,53,15.73,broken clouds,0.0,0
300,Griffith,US,41.53,-87.42,80.6,57,90,10.54,overcast clouds,0.0,0
301,Huancavelica,PE,-12.77,-74.98,34.43,88,65,5.93,broken clouds,0.0,0
302,Georgetown,MY,5.41,100.34,78.8,100,20,3.36,mist,0.0,0
303,Kambove,CD,-10.88,26.6,60.66,65,29,4.12,scattered clouds,0.0,0
304,Tonkino,RU,57.37,46.46,49.35,91,13,3.87,few clouds,0.0,0
305,Iquique,CL,-20.22,-70.14,68.0,68,75,8.05,broken clouds,0.0,0
306,Jiayuguan,CN,39.82,98.3,51.08,63,100,12.15,light rain,0.89,0
307,Asyut,EG,27.18,31.18,71.6,40,2,10.29,clear sky,0.0,0
308,Acapulco,MX,16.86,-99.89,80.6,74,40,8.05,scattered clouds,0.0,0
309,Huntington,US,38.42,-82.45,84.0,54,20,3.36,few clouds,0.0,0
310,Havre-Saint-Pierre,CA,50.23,-63.6,64.4,72,1,5.82,clear sky,0.0,0
311,Oga,IT,46.46,10.35,44.6,93,40,3.36,scattered clouds,0.0,0
312,Beira,MZ,-19.84,34.84,68.41,85,0,3.6,clear sky,0.0,0
313,Ribas Do Rio Pardo,BR,-20.44,-53.76,59.52,72,0,5.19,clear sky,0.0,0
